时间,策略权益,策略单位净值,基准单位净值
2024-06-20,937924.0112,0.937924,1.0210345346268273
2024-06-21,937924.0112,0.937924,1.0188014671287562
2024-06-24,937924.0112,0.937924,1.0133193926548374
2024-06-25,937924.0112,0.937924,1.007808668559407
2024-06-26,937924.0112,0.937924,1.0143262388651555
2024-06-27,937924.0112,0.937924,1.006705585268487
2024-06-28,937924.0112,0.937924,1.0089029791788366
2024-07-01,937924.0112,0.937924,1.0137194089877448
2024-07-02,937924.0112,0.937924,1.0118549977078846
2024-07-03,937924.0112,0.937924,1.009415087520222
2024-07-04,937924.0112,0.937924,1.0042851731447018
2024-07-05,937924.0112,0.937924,0.9999856023265242
2024-07-08,937924.0112,0.937924,0.9914460623951451
2024-07-09,937924.0112,0.937924,1.0025359723977363
2024-07-10,937924.0112,0.937924,0.9993750710229364
2024-07-11,937924.0112,0.937924,1.0108009073099058
2024-07-12,937924.0112,0.937924,1.0120344440147488
2024-07-15,937924.0112,0.937924,1.0131551600839135
2024-07-16,937924.0112,0.937924,1.0195775716773166
2024-07-17,937924.0112,0.937924,1.0205396218873666
2024-07-18,935954.1113,0.935954,1.0261784386445914
2024-07-19,950009.1113,0.950009,1.0314492112304534
2024-07-22,936699.1113,0.936699,1.0244279555137537
2024-07-23,914699.1113,0.914699,1.0025554413165256
2024-07-24,907209.1113,0.907209,0.9962275763886199
2024-07-25,902444.1113,0.902444,0.9907206994448065
2024-07-26,898294.1113,0.898294,0.9936414744395101
2024-07-29,893072.781,0.893073,0.9882347400180916
2024-07-30,893072.781,0.893073,0.9820093783647093
2024-07-31,893072.781,0.893073,1.003198527683418
2024-08-01,893072.781,0.893073,0.9965482597919699
2024-08-02,893072.781,0.893073,0.986383997784507
2024-08-05,893072.781,0.893073,0.9744137021084635
2024-08-06,893072.781,0.893073,0.9743141424878289
2024-08-07,893072.781,0.893073,0.9738799098216003
2024-08-08,893072.781,0.893073,0.9743019015508656
2024-08-09,893072.781,0.893073,0.9710057378226211
2024-08-12,893072.781,0.893073,0.9693261355458186
2024-08-13,893072.781,0.893073,0.9718109874591893
2024-08-14,893072.781,0.893073,0.9644805897939905
2024-08-15,893072.781,0.893073,0.9740151430299566
2024-08-16,894350.1535,0.89435,0.9750879737195244
2024-08-19,891470.1535,0.89147,0.9783911905590666
2024-08-20,890110.1535,0.89011,0.9713193389695853
2024-08-21,887540.1535,0.88754,0.9680934440485279
2024-08-22,883775.1535,0.883775,0.9656163155834793
2024-08-23,886245.1535,0.886245,0.9697125994128023
2024-08-26,884750.1535,0.88475,0.9688477480712583
2024-08-27,880785.1535,0.880785,0.9633424449621972
2024-08-28,879171.3856,0.879171,0.9578520349931083
2024-08-29,879171.3856,0.879171,0.955283070355747
2024-08-30,879171.3856,0.879171,0.968034366955136
2024-09-02,879171.3856,0.879171,0.9515903294149802
2024-09-03,879171.3856,0.879171,0.9540435297627744
2024-09-04,879171.3856,0.879171,0.9478463222644079
2024-09-05,879171.3856,0.879171,0.9494763778915971
2024-09-06,879171.3856,0.879171,0.9417785481018839
2024-09-09,879171.3856,0.879171,0.9305885538670737
2024-09-10,879171.3856,0.879171,0.931405665554461
2024-09-11,879171.3856,0.879171,0.9286003633984443
2024-09-12,879171.3856,0.879171,0.9246205433408007
2024-09-13,879171.3856,0.879171,0.9207653185343903
2024-09-18,879171.3856,0.879171,0.9241937135269261
2024-09-19,879171.3856,0.879171,0.9314874175263229
2024-09-20,879171.3856,0.879171,0.932948752239035
2024-09-23,879171.3856,0.879171,0.9363628661384469
2024-09-24,879171.3856,0.879171,0.9769168279920151
2024-09-25,879171.3856,0.879171,0.9913797864650153
2024-09-26,879171.3856,0.879171,1.0332867507391705
2024-09-27,879171.3856,0.879171,1.0794422236373136
2024-09-30,900691.3426,0.900691,1.1710072300511272
2024-10-08,890691.3426,0.890691,1.240442983187452
2024-10-09,839551.3426,0.839551,1.1529749892301615
2024-10-10,857491.3426,0.857491,1.16515880182095
2024-10-11,843487.3426,0.843487,1.1329182431609084
2024-10-14,842287.3426,0.842287,1.1545367287710604
2024-10-15,823191.3426,0.823191,1.123833107182023
2024-10-16,810491.3426,0.810491,1.1167199861479227
2024-10-17,799331.3426,0.799331,1.1040805483963076
2024-10-18,817891.3426,0.817891,1.144012903812845
2024-10-21,813011.3426,0.813011,1.146916745511416
2024-10-22,818691.3426,0.818691,1.1534971526269095
2024-10-23,828491.3426,0.828491,1.1579952306395083
2024-10-24,822371.3426,0.822371,1.1450619521105985
2024-10-25,825031.3426,0.825031,1.1531023824098434
2024-10-28,827491.3426,0.827491,1.1553570172730405
2024-10-29,824056.9538,0.824057,1.1438424050479992
2024-10-30,824056.9538,0.824057,1.1335832466339828
2024-10-31,824056.9538,0.824057,1.1340469158390991
2024-11-01,824056.9538,0.824057,1.1337498399570356
2024-11-04,824056.9538,0.824057,1.1497043274539238
2024-11-05,824056.9538,0.824057,1.1787942146650565
2024-11-06,824056.9538,0.824057,1.1728808511787978
2024-11-07,824056.9538,0.824057,1.2082665145759395
2024-11-08,802825.0917,0.802825,1.1961281100322667
2024-11-11,798041.0917,0.798041,1.2040218239584806
2024-11-12,789717.0917,0.789717,1.1907933931233157
2024-11-13,790237.0917,0.790237,1.1981225375497297
2024-11-14,788357.0917,0.788357,1.1773505418756771
2024-11-15,782437.0917,0.782437,1.156719229541438
2024-11-18,782437.0917,0.782437,1.1513419025138192
2024-11-19,775605.0917,0.775605,1.1590684402152203
